Sample,X(ms) [01.01.2012 00:40:29 721 UTC],"InstAGV.instMoveCtrlDiff.trackValues.trackDeviation.x","InstAGV.instMoveCtrlDiff.trackValues.trackDeviation.y","InstAGV.instMoveCtrlDiff.trackValues.trackDeviation.a","frontPGV.xPosition","InstAGV.instMoveCtrlDiff.vCurrent.x","InstAGV.instMoveCtrlDiff.vCurrent.a"
3970,1325378469431.324072,0,9.5,-0.20001220703125,3895.3,303.395355224609,0.0840909034013748
3971,1325378469441.445640,0,9.5,-0.20001220703125,3898.2,301.399353027344,-0.967045426368713
3972,1325378469451.333784,0,9.69999980926514,-0.399993896484375,3900.7,301.634155273438,0.630681753158569
3973,1325378469461.438656,0,9.69999980926514,-0.399993896484375,3903.7,299.638153076172,0.336363613605499
3974,1325378469475.107560,0,9.80000019073486,-0.399993896484375,3906.6,299.990386962891,0.462499976158142
3975,1325378469481.340352,0,9.80000019073486,-0.399993896484375,3909.5,299.4033203125,0.58863639831543
3976,1325378469491.441984,0,9.5,-0.100006103515625,3913.2,299.4033203125,0.58863639831543
3977,1325378469501.394128,0,9.5,-0.100006103515625,3916.2,299.285919189453,0.294318199157715
3978,1325378469511.388864,0,9.5,-0.100006103515625,3919.2,298.229187011719,0.756818234920502
3979,1325378469521.388384,0,9.5,0,3922.1,299.051086425781,0.546590864658356
3980,1325378469531.388432,0,9.5,-0.20001220703125,3924.5,297.642120361328,0.0420454517006874
3981,1325378469541.359376,0,9.5,-0.20001220703125,3927.4,298.933654785156,-0.672727227210999
3982,1325378469551.457912,0,9.5,-0.20001220703125,3930.3,300.225219726563,0.294318199157715
3983,1325378469561.345920,0,9.5,-0.20001220703125,3933.2,297.407287597656,0.210227265954018
3984,1325378469575.103480,0,9.5,0.100000001490116,3936.5,299.520721435547,0.210227265954018
3985,1325378469581.312720,0,9.5,0.100000001490116,3939.5,299.755554199219,0.462499976158142
3986,1325378469591.421488,0,9.5,0.100000001490116,3942.4,299.755554199219,0.462499976158142
3987,1325378469601.341608,0,9.5,0.100000001490116,3945.3,301.868988037109,-0.210227265954018
3988,1325378469611.422448,0,9.5,-0.100006103515625,3948.2,305.039154052734,0.420454531908035
3989,1325378469621.327168,0,9.5,-0.100006103515625,3951.2,305.039154052734,0.420454531908035
3990,1325378469631.407280,0,9.5,-0.100006103515625,3954.1,303.395355224609,1.09318172931671
3991,1325378469641.358248,0,9.5,0,3957,301.634155273438,-0.210227265954018
3992,1325378469651.363504,0,9.30000019073486,-0.20001220703125,3959.8,300.9296875,1.38749992847443
3993,1325378469661.378872,0,9.30000019073486,-0.20001220703125,3962.7,301.281921386719,-0.252272725105286
3994,1325378469675.023232,0,9.30000019073486,-0.20001220703125,3965.6,297.876953125,0.967045426368713
3995,1325378469681.377360,0,9.19999980926514,-0.20001220703125,3968.5,297.289886474609,0.504545450210571
3996,1325378469691.324544,0,9.19999980926514,-0.20001220703125,3972,297.289886474609,0.504545450210571
3997,1325378469701.372264,0,9.19999980926514,-0.20001220703125,3974.9,297.289886474609,0.756818234920502
3998,1325378469711.457424,0,9.19999980926514,-0.20001220703125,3977.9,297.876953125,0.798863708972931
